source,target,classifier,S,S_sd,T,T_sd,gap
books,clothing,logreg,0.8484599887554154,0.010193395534513238,0.9207685270087248,0.004704837138279551,0.0723085382533094
books,electronics,logreg,0.8255636713913741,0.012507840790786498,0.9086048340487123,0.006718196592658978,0.08304116265733819
books,music,logreg,0.8631583962091387,0.007997552361908656,0.8959237973425234,0.005484196138797925,0.032765401133384664
clothing,books,logreg,0.7977695000537967,0.008231117274542767,0.9036677314449788,0.0025653898695714374,0.10589823139118215
clothing,electronics,logreg,0.8579835812801395,0.006826135032004144,0.9086048340487123,0.006718196592658978,0.050621252768572766
clothing,music,logreg,0.8092449403913855,0.01641185268759486,0.8959237973425234,0.005484196138797925,0.08667885695113786
electronics,books,logreg,0.8106479395733336,0.01005092256622826,0.9036677314449788,0.0025653898695714374,0.09301979187164522
electronics,clothing,logreg,0.8871003071471091,0.008826914749783988,0.9207685270087248,0.004704837138279551,0.03366821986161572
electronics,music,logreg,0.8253683189948319,0.007266356959727685,0.8959237973425234,0.005484196138797925,0.07055547834769149
music,books,logreg,0.8271473324417432,0.009334873710257178,0.9036677314449788,0.0025653898695714374,0.0765203990032356
music,clothing,logreg,0.802257645407062,0.01112485509400882,0.9207685270087248,0.004704837138279551,0.11851088160166279
music,electronics,logreg,0.7748388505338023,0.012076390232558906,0.9086048340487123,0.006718196592658978,0.13376598351490998
books,clothing,svm,0.8503806825220825,0.010052905843148776,0.9202088253180106,0.006154884697791374,0.06982814279592808
books,electronics,svm,0.8260309564080647,0.009686612187707992,0.9059602858863217,0.0062552348349016506,0.07992932947825704
books,music,svm,0.8624496876069101,0.008852752775398548,0.8950698945081627,0.0059189726372916645,0.03262020690125256
clothing,books,svm,0.8030829219373807,0.0056154266597565235,0.9040686371460447,0.00260371993548238,0.10098571520866395
clothing,electronics,svm,0.8588863430465408,0.0046386430905288175,0.9059602858863217,0.0062552348349016506,0.04707394283978095
clothing,music,svm,0.815006363128562,0.015024690481418385,0.8950698945081627,0.0059189726372916645,0.08006353137960065
electronics,books,svm,0.8081054576878062,0.0058881214956742435,0.9040686371460447,0.00260371993548238,0.09596317945823851
electronics,clothing,svm,0.8864615193344845,0.007260249664896228,0.9202088253180106,0.006154884697791374,0.033747305983526155
electronics,music,svm,0.8272702677473959,0.008578649489872383,0.8950698945081627,0.0059189726372916645,0.06779962676076678
music,books,svm,0.8353967118629939,0.009312253123269911,0.9040686371460447,0.00260371993548238,0.06867192528305077
music,clothing,svm,0.8142558650803629,0.00961711282473038,0.9202088253180106,0.006154884697791374,0.10595296023764778
music,electronics,svm,0.7864808619705665,0.013173419667857957,0.9059602858863217,0.0062552348349016506,0.11947942391575517
