source,target,classifier,strategy,budget_to_80,max_recovery
books,clothing,logreg,random,1000,1.029
books,clothing,logreg,self_training,1000,1.027
books,clothing,logreg,uncertainty,1000,1.029
books,clothing,svm,random,1000,1.004
books,clothing,svm,self_training,1000,1.007
books,clothing,svm,uncertainty,1000,1.004
books,electronics,logreg,random,1000,1.026
books,electronics,logreg,self_training,1000,1.036
books,electronics,logreg,uncertainty,500,1.026
books,electronics,svm,random,1000,1.059
books,electronics,svm,self_training,1000,1.055
books,electronics,svm,uncertainty,500,1.059
clothing,books,logreg,random,1000,1.015
clothing,books,logreg,self_training,1000,1.02
clothing,books,logreg,uncertainty,500,1.015
clothing,books,svm,random,1000,1.006
clothing,books,svm,self_training,1000,1.006
clothing,books,svm,uncertainty,500,1.006
clothing,electronics,logreg,random,1000,1.111
clothing,electronics,logreg,self_training,1000,1.097
clothing,electronics,logreg,uncertainty,500,1.111
clothing,music,logreg,random,1000,1.011
clothing,music,logreg,self_training,1000,0.996
clothing,music,logreg,uncertainty,500,1.011
clothing,music,svm,random,1000,1.032
clothing,music,svm,self_training,1000,1.037
clothing,music,svm,uncertainty,1000,1.032
electronics,books,logreg,random,1000,1.005
electronics,books,logreg,self_training,2000,0.991
electronics,books,logreg,uncertainty,500,1.005
electronics,books,svm,random,1000,0.975
electronics,books,svm,self_training,1000,0.968
electronics,books,svm,uncertainty,1000,0.975
electronics,music,logreg,random,1000,0.999
electronics,music,logreg,self_training,2000,1.001
electronics,music,logreg,uncertainty,1000,0.999
electronics,music,svm,random,2000,1.048
electronics,music,svm,self_training,2000,1.038
electronics,music,svm,uncertainty,1000,1.048
music,books,logreg,random,1000,1.057
music,books,logreg,self_training,1000,1.052
music,books,logreg,uncertainty,500,1.064
music,books,svm,random,1000,1.066
music,books,svm,self_training,1000,1.05
music,books,svm,uncertainty,500,1.066
music,clothing,logreg,random,1000,0.982
music,clothing,logreg,self_training,500,0.979
music,clothing,logreg,uncertainty,500,0.982
music,clothing,svm,random,1000,0.979
music,clothing,svm,self_training,1000,0.978
music,clothing,svm,uncertainty,500,0.979
music,electronics,logreg,random,1000,1.025
music,electronics,logreg,self_training,500,1.024
music,electronics,logreg,uncertainty,500,1.025
music,electronics,svm,random,500,1.054
music,electronics,svm,self_training,500,1.053
music,electronics,svm,uncertainty,500,1.054
