source,target,classifier,strategy,crossover_budget,delta_at_max_budget
books,clothing,logreg,random,,0.0038
books,clothing,logreg,self_training,,0.0063
books,clothing,logreg,uncertainty,,0.0038
books,clothing,svm,random,,0.0023
books,clothing,svm,self_training,,0.0033
books,clothing,svm,uncertainty,,0.0023
books,electronics,logreg,random,,0.0027
books,electronics,logreg,self_training,,0.0052
books,electronics,logreg,uncertainty,,0.0027
books,electronics,svm,random,,0.0035
books,electronics,svm,self_training,,0.0043
books,electronics,svm,uncertainty,,0.0035
clothing,books,logreg,random,,0.0014
clothing,books,logreg,self_training,,0.0037
clothing,books,logreg,uncertainty,,0.0014
clothing,books,svm,random,,0.0027
clothing,books,svm,self_training,,0.0018
clothing,books,svm,uncertainty,,0.0027
clothing,electronics,logreg,random,,0.0059
clothing,electronics,logreg,self_training,,0.0069
clothing,electronics,logreg,uncertainty,,0.0059
clothing,music,logreg,random,,0.0018
clothing,music,logreg,self_training,,0.0019
clothing,music,logreg,uncertainty,,0.0018
clothing,music,svm,random,,0.0051
clothing,music,svm,self_training,,0.0058
clothing,music,svm,uncertainty,,0.0051
electronics,books,logreg,random,1000.0,0.001
electronics,books,logreg,self_training,,0.0003
electronics,books,logreg,uncertainty,,0.001
electronics,books,svm,random,2000.0,-0.0006
electronics,books,svm,self_training,2000.0,-0.001
electronics,books,svm,uncertainty,2000.0,-0.0006
electronics,music,logreg,random,,0.0007
electronics,music,logreg,self_training,,0.0024
electronics,music,logreg,uncertainty,,0.0007
electronics,music,svm,random,,0.0051
electronics,music,svm,self_training,1000.0,0.0043
electronics,music,svm,uncertainty,,0.0051
music,books,logreg,random,,0.0059
music,books,logreg,self_training,,0.0074
music,books,logreg,uncertainty,,0.0059
music,books,svm,random,,0.007
music,books,svm,self_training,,0.0054
music,books,svm,uncertainty,,0.007
music,clothing,logreg,random,2000.0,-0.0019
music,clothing,logreg,self_training,2000.0,-0.0003
music,clothing,logreg,uncertainty,2000.0,-0.0019
music,clothing,svm,random,2000.0,-0.0006
music,clothing,svm,self_training,2000.0,-0.0005
music,clothing,svm,uncertainty,2000.0,-0.0006
music,electronics,logreg,random,,0.004
music,electronics,logreg,self_training,,0.0054
music,electronics,logreg,uncertainty,,0.004
music,electronics,svm,random,,0.005
music,electronics,svm,self_training,,0.0062
music,electronics,svm,uncertainty,,0.005
