source,target,classifier,strategy,run_type,budget,macro_f1,macro_f1_sd,recovery,n_seeds,rec_lo,rec_hi
books,clothing,logreg,random,target_only,50,0.7814726182146101,0.01598620931841221,-0.926410243644213,5,-1.0828207428067629,-0.744066568918295
books,clothing,logreg,random,target_only,100,0.8128024417099085,0.028153819700084393,-0.4931305196710305,5,-0.8072113866348003,-0.249462169438652
books,clothing,logreg,random,target_only,250,0.8650883788344593,0.007699277100908629,0.22996440642724444,5,0.14724464443303645,0.3071549568003465
books,clothing,logreg,random,target_only,500,0.8917012083030127,0.004358161613136858,0.5980098698180806,5,0.551692760472808,0.642949023551098
books,clothing,logreg,random,target_only,1000,0.908112481787063,0.003190988806990864,0.8249716350602269,5,0.7920209649938013,0.8579855843978004
books,clothing,logreg,random,target_only,2000,0.9190871256034029,0.0076461236700475395,0.9767468483537641,5,0.8864439266538866,1.0653419261439923
books,clothing,logreg,random,transfer,50,0.8572587220498085,0.008513487197537346,0.1216831857887862,5,0.029115956791143392,0.2087626669377003
books,clothing,logreg,random,transfer,100,0.8662387196190012,0.013644558347414557,0.24587318860331386,5,0.08824922436186582,0.3586155244797459
books,clothing,logreg,random,transfer,250,0.882847156370102,0.0032314112015665174,0.47556164797886485,5,0.4402123206696672,0.5093396133392243
books,clothing,logreg,random,transfer,500,0.8942820298519155,0.005044521077696144,0.633701665161278,5,0.5704737888976844,0.6760297120851038
books,clothing,logreg,random,transfer,1000,0.9106816852145443,0.005163777103644779,0.860502756135871,5,0.8009791977882126,0.9088836049608332
books,clothing,logreg,random,transfer,2000,0.9228533541882129,0.0034953736623564704,1.0288323789949192,5,0.9858494289837637,1.0617583139924818
books,clothing,logreg,self_training,target_only,50,0.7611422914111671,0.10214269482371124,-1.2075710483644293,5,-2.4251909142502317,-0.2456802410051976
books,clothing,logreg,self_training,target_only,100,0.785044762927517,0.08480124189299663,-0.8770088202549994,5,-1.885751547009757,-0.08427153794922224
books,clothing,logreg,self_training,target_only,250,0.8597224249907892,0.021482353130610376,0.1557552746526215,5,-0.09373554066258526,0.3638083167036425
books,clothing,logreg,self_training,target_only,500,0.885355749471503,0.016264819419086148,0.510254550947157,5,0.33324652350401224,0.6850609003566078
books,clothing,logreg,self_training,target_only,1000,0.9048996116381438,0.005612143648858828,0.7805388443203019,5,0.7179029544988074,0.8335286151933999
books,clothing,logreg,self_training,target_only,2000,0.9164399632716776,0.007897565131514996,0.9401375848328792,5,0.8518704987989759,1.0250359722642286
books,clothing,logreg,self_training,transfer,50,0.8695246251451614,0.013020295718126473,0.2913160312541933,5,0.15365308228984825,0.42897898021853836
books,clothing,logreg,self_training,transfer,100,0.8728404112678978,0.014273909163174024,0.3371721113635786,5,0.17412866051666154,0.4608536261324406
books,clothing,logreg,self_training,transfer,250,0.8890356332553211,0.003641720844545844,0.5611459653320907,5,0.5221021159102,0.5972963577239527
books,clothing,logreg,self_training,transfer,500,0.8958816266494699,0.006882498215146551,0.6558234897230004,5,0.5688704334021966,0.7224474431409144
books,clothing,logreg,self_training,transfer,1000,0.9107593704209351,0.0037673081675824623,0.8615771134423188,5,0.8165063324913204,0.8987414829868106
books,clothing,logreg,self_training,transfer,2000,0.9226904515820115,0.004128800527432975,1.0265794969683089,5,0.9748112672676263,1.0651237878563076
books,clothing,logreg,uncertainty,target_only,50,0.703669705034942,0.027006635792118854,-2.0023953908907384,5,-2.316499134011754,-1.7636279546601075
books,clothing,logreg,uncertainty,target_only,100,0.6744208192407642,0.0279251205059642,-2.4068965258979738,5,-2.7081292597930497,-2.1344484400563095
books,clothing,logreg,uncertainty,target_only,250,0.7222369431377192,0.01360546661507592,-1.7456174425143938,5,-1.8826002860916098,-1.6102712391889789
books,clothing,logreg,uncertainty,target_only,500,0.7976914605126736,0.010465225176964778,-0.7021097296268224,5,-0.8055120138509757,-0.5888348465875909
books,clothing,logreg,uncertainty,target_only,1000,0.9018170055610064,0.00562836507094842,0.7379075569011248,5,0.6846588611077066,0.8075768177813536
books,clothing,logreg,uncertainty,target_only,2000,0.9190871256034029,0.0076461236700475395,0.9767468483537641,5,0.8864439266538866,1.0653419261439923
books,clothing,logreg,uncertainty,transfer,50,0.8634086814924515,0.007109957691038024,0.20673482133836316,5,0.13213539833828286,0.28028879053727457
books,clothing,logreg,uncertainty,transfer,100,0.875638180662883,0.004118104801899515,0.3758642141576389,5,0.32932036159181116,0.4180526956728996
books,clothing,logreg,uncertainty,transfer,250,0.8944643824796632,0.0029786438822722787,0.6362235337006328,5,0.599842312700466,0.6638374943727803
books,clothing,logreg,uncertainty,transfer,500,0.9049295343009531,0.005168415593808736,0.7809526635390549,5,0.722597043407432,0.8328710675114925
books,clothing,logreg,uncertainty,transfer,1000,0.9170932843590162,0.0023382983528874453,0.9491727707614052,5,0.9195136503513753,0.9699607629885969
