classifier,strategy,budget,recovery,rec_lo,rec_hi,macro_f1,n_pairs
logreg,random,50,0.1729433900532563,0.07322594842060577,0.26578051041683703,0.8335205113896752,4
logreg,self_training,50,0.12559209011176647,-0.03812664025379331,0.28733961101673156,0.8283526519263861,4
logreg,uncertainty,50,0.23739072937826267,0.1643282394091147,0.3174956703245305,0.8393675383437618,4
logreg,random,100,0.2743634378348526,0.16639975892949357,0.36305627886239,0.8429275948215939,4
logreg,self_training,100,0.265252502127074,0.10411230268269897,0.40325548525560817,0.8420406783863157,4
logreg,uncertainty,100,0.4147259941247935,0.3496171549920341,0.4750622869778634,0.8554489588890796,4
logreg,random,250,0.48578711536242125,0.41535779298116654,0.5561322775936077,0.8619835846266432,4
logreg,self_training,250,0.5255494972209082,0.4450303303250317,0.6023457540223116,0.8652183193026655,4
logreg,uncertainty,250,0.6602053572295044,0.6034524982149331,0.719018581686873,0.877074119981704,4
logreg,random,500,0.6741777736960085,0.6088579052338627,0.7399782566433688,0.8789337547605538,4
logreg,self_training,500,0.697623217169328,0.6236952644246412,0.7619928711069065,0.8808666312963804,4
logreg,uncertainty,500,0.8451678899501998,0.786772160844159,0.9016574480515297,0.893394565228844,4
logreg,random,1000,0.8774065665670848,0.8272883312358636,0.925508255115709,0.8961859116944433,4
logreg,self_training,1000,0.8780355544953178,0.8274719363202291,0.9280092186097069,0.8963042789844549,4
logreg,uncertainty,1000,0.9816239479092044,0.92024472014711,1.0357456133588192,0.9048557983334791,4
logreg,random,2000,1.0260660409036193,0.9730112896365654,1.0756365478265846,0.9088632764351567,4
logreg,self_training,2000,1.0223106473482253,0.9662971932089206,1.0743506199267194,0.9085792155039458,4
logreg,uncertainty,2000,1.0260660409036193,0.9730112896365654,1.0756365478265846,0.9088632764351567,4
svm,random,50,0.16466137535046527,0.07956368900459558,0.24788135674736372,0.8332125288070931,4
svm,self_training,50,0.19075231301272255,0.05134275294502808,0.3231270904298537,0.835058574215104,4
svm,uncertainty,50,0.2280835455389936,0.14670315270174436,0.30462191528885846,0.83917411409095,4
svm,random,100,0.28447969497637093,0.1907258784757023,0.3666298678771618,0.8439177386900347,4
svm,self_training,100,0.3046863952529735,0.17119183396109278,0.418391673395059,0.8451650588829326,4
svm,uncertainty,100,0.3844164708653273,0.3090510195618554,0.45783789119411317,0.8528888437992947,4
svm,random,250,0.46966567394540853,0.39093598365083904,0.5540881055830639,0.8605047072258084,4
svm,self_training,250,0.5047058162913344,0.41437992676843854,0.5978053436679239,0.8634881574725809,4
svm,uncertainty,250,0.6368701075845213,0.5606418935239135,0.713583609191427,0.8752142094280689,4
svm,random,500,0.6696526175629559,0.6050722766111809,0.7403733074972526,0.8780106600217761,4
svm,self_training,500,0.6821235412770622,0.6091545367856241,0.7598301067294138,0.8790820175876611,4
svm,uncertainty,500,0.8232255041649071,0.7618309383936728,0.8861685888097365,0.8910902614478486,4
svm,random,1000,0.8689671148883801,0.8186130435751914,0.9197315086927514,0.8951055818813209,4
svm,self_training,1000,0.8704535025648164,0.8200630272629601,0.9229728337289183,0.895305024445475,4
svm,uncertainty,1000,0.9645355271994465,0.9105595308195057,1.0185829238451474,0.9030990281813432,4
svm,random,2000,1.0248458147430464,0.9693750276833071,1.0756289301116806,0.9080573067521729,4
svm,self_training,2000,1.0212346197771516,0.9658883949630375,1.0741297483903791,0.9077780443132792,4
svm,uncertainty,2000,1.0248458147430464,0.9693750276833071,1.0756289301116806,0.9080573067521729,4
