source,target,a_distance,js_divergence,oov_rate,coverage,gap,budget_to_level
books,music,1.786,0.2198,0.6359,0.8626,0.032765401133384664,
books,electronics,1.804,0.2411,0.6215,0.8793,0.08304116265733819,718.0276060191525
books,clothing,1.819,0.2718,0.5854,0.8846,0.0723085382533094,803.7308378067235
music,books,1.794,0.2198,0.7527,0.8401,0.0765203990032356,731.1754400187223
music,electronics,1.791,0.2405,0.6884,0.8546,0.13376598351490998,524.431243150472
music,clothing,1.843,0.2794,0.6592,0.8482,0.11851088160166279,572.4211541547338
electronics,books,1.78,0.2411,0.7912,0.8113,0.09301979187164522,847.1188491164257
electronics,music,1.786,0.2405,0.748,0.8297,0.07055547834769149,907.5763565291451
electronics,clothing,1.605,0.1997,0.6078,0.8878,0.03366821986161572,
clothing,books,1.814,0.2718,0.8407,0.7783,0.10589823139118215,711.7776645815135
clothing,music,1.836,0.2794,0.8047,0.7658,0.08667885695113786,897.9390933569987
clothing,electronics,1.609,0.1997,0.7241,0.8493,0.050621252768572766,647.2342979516243
