config_hash,experiment,source,target,classifier,strategy,seed,budget,run_type,macro_f1,accuracy,n_source_train,n_target_labeled,n_target_val,n_pseudo,chosen_C,val_score,tuning,fit_seconds
c193d6b103,gapcheck6_small,__none__,books,logreg,__none__,0,2000,ceiling,0.8943956744468253,0.8944,0,2000,1500,0,10.0,0.905332660143361,target_full,5.973
c193d6b103,gapcheck6_small,__none__,movies,logreg,__none__,0,2000,ceiling,0.9023144117950384,0.9024,0,2000,1500,0,10.0,0.9053196993700425,target_full,3.088
c193d6b103,gapcheck6_small,__none__,music,logreg,__none__,0,2000,ceiling,0.9026410946891078,0.9028,0,2000,1500,0,10.0,0.8938674994693375,target_full,3.355
c193d6b103,gapcheck6_small,__none__,electronics,logreg,__none__,0,2000,ceiling,0.9083618638732696,0.9084,0,2000,1500,0,10.0,0.9005690475671448,target_full,3.426
c193d6b103,gapcheck6_small,__none__,kitchen,logreg,__none__,0,2000,ceiling,0.9063805870785366,0.9064,0,2000,1500,0,10.0,0.914651493598862,target_full,2.99
c193d6b103,gapcheck6_small,__none__,clothing,logreg,__none__,0,2000,ceiling,0.9235999877759979,0.9236,0,2000,1500,0,10.0,0.9139154841353132,target_full,2.307
c193d6b103,gapcheck6_small,books,movies,logreg,random,0,0,source_only,0.8819151867637411,0.882,2000,0,0,0,10.0,0.8993311409892927,source_val_fallback,0.082
c193d6b103,gapcheck6_small,books,music,logreg,random,0,0,source_only,0.8691319695630577,0.8692,2000,0,0,0,10.0,0.8973331508144904,source_val_fallback,0.079
c193d6b103,gapcheck6_small,books,electronics,logreg,random,0,0,source_only,0.8321577938917029,0.8332,2000,0,0,0,10.0,0.9013326316987142,source_val_fallback,0.08
c193d6b103,gapcheck6_small,books,kitchen,logreg,random,0,0,source_only,0.8487128586065573,0.8488,2000,0,0,0,10.0,0.9,source_val_fallback,0.079
