config_hash,experiment,source,target,classifier,strategy,seed,budget,run_type,macro_f1,accuracy,n_source_train,n_target_labeled,n_target_val,n_pseudo,chosen_C,val_score,tuning,fit_seconds
e2525bf730,gapcheck,__none__,books,logreg,__none__,0,8000,ceiling,0.919198138325107,0.9192,0,8000,1500,0,10.0,0.9186341203147925,target_full,6.847
e2525bf730,gapcheck,__none__,electronics,logreg,__none__,0,8000,ceiling,0.9195823853256817,0.9196,0,8000,1500,0,10.0,0.9353153653792721,target_full,3.873
e2525bf730,gapcheck,__none__,kitchen,logreg,__none__,0,8000,ceiling,0.9231840714490557,0.9232,0,8000,1500,0,10.0,0.9373172865586924,target_full,3.36
e2525bf730,gapcheck,__none__,clothing,logreg,__none__,0,8000,ceiling,0.9319999564799721,0.932,0,8000,1500,0,10.0,0.9399790860459822,target_full,2.621
e2525bf730,gapcheck,books,electronics,logreg,random,0,0,source_only,0.8638937282229966,0.8648,8000,0,0,0,10.0,0.9206480101321599,source_val_fallback,0.315
e2525bf730,gapcheck,books,kitchen,logreg,random,0,0,source_only,0.8913620568313543,0.8916,8000,0,0,0,10.0,0.9193109196999166,source_val_fallback,0.319
e2525bf730,gapcheck,books,clothing,logreg,random,0,0,source_only,0.8766540373216049,0.8768,8000,0,0,0,10.0,0.9173045185522422,source_val_fallback,0.324
e2525bf730,gapcheck,electronics,books,logreg,random,0,0,source_only,0.8527999057919398,0.8528,8000,0,0,0,10.0,0.9346499370505517,source_val_fallback,0.229
e2525bf730,gapcheck,electronics,kitchen,logreg,random,0,0,source_only,0.9259985673322635,0.926,8000,0,0,0,10.0,0.9333162622964812,source_val_fallback,0.225
e2525bf730,gapcheck,electronics,clothing,logreg,random,0,0,source_only,0.9051872419952829,0.9052,8000,0,0,0,10.0,0.9346526097169346,source_val_fallback,0.257
e2525bf730,gapcheck,kitchen,books,logreg,random,0,0,source_only,0.8439174927804818,0.8444,8000,0,0,0,1.0,0.931994075928392,source_val_fallback,0.18
e2525bf730,gapcheck,kitchen,electronics,logreg,random,0,0,source_only,0.9170699524165815,0.9172,8000,0,0,0,10.0,0.9353153653792721,source_val_fallback,0.187
e2525bf730,gapcheck,kitchen,clothing,logreg,random,0,0,source_only,0.918349781849829,0.9184,8000,0,0,0,10.0,0.9353206561819449,source_val_fallback,0.196
e2525bf730,gapcheck,clothing,books,logreg,random,0,0,source_only,0.8575338736290947,0.858,8000,0,0,0,10.0,0.9433175882189497,source_val_fallback,0.183
e2525bf730,gapcheck,clothing,electronics,logreg,random,0,0,source_only,0.8951652123952797,0.8956,8000,0,0,0,10.0,0.9439831700546475,source_val_fallback,0.166
e2525bf730,gapcheck,clothing,kitchen,logreg,random,0,0,source_only,0.9114316350810237,0.9116,8000,0,0,0,10.0,0.9399790860459822,source_val_fallback,0.171
