config_hash,experiment,source,target,classifier,strategy,seed,budget,run_type,macro_f1,accuracy,n_source_train,n_target_labeled,n_target_val,n_pseudo,chosen_C,val_score,tuning,fit_seconds
1f7f2e0f41,main,__none__,books,logreg,__none__,0,2000,ceiling,0.9039800893113197,0.904,0,2000,1500,0,10.0,0.8759964727885594,target_full,6.436
1f7f2e0f41,main,__none__,books,logreg,__none__,1,2000,ceiling,0.9039800893113197,0.904,0,2000,1500,0,10.0,0.8759964727885594,target_full,6.363
1f7f2e0f41,main,__none__,books,logreg,__none__,2,2000,ceiling,0.9039800893113197,0.904,0,2000,1500,0,10.0,0.8759964727885594,target_full,6.715
1f7f2e0f41,main,__none__,books,logreg,__none__,3,2000,ceiling,0.9039800893113197,0.904,0,2000,1500,0,10.0,0.8759964727885594,target_full,6.641
1f7f2e0f41,main,__none__,books,logreg,__none__,4,2000,ceiling,0.9039800893113197,0.904,0,2000,1500,0,10.0,0.8759964727885594,target_full,6.484
1f7f2e0f41,main,__none__,books,svm,__none__,0,2000,ceiling,0.9039778150343856,0.904,0,2000,1500,0,1.0,0.8799965865695736,target_full,6.485
1f7f2e0f41,main,__none__,books,svm,__none__,1,2000,ceiling,0.9039778150343856,0.904,0,2000,1500,0,1.0,0.8799965865695736,target_full,7.56
1f7f2e0f41,main,__none__,books,svm,__none__,2,2000,ceiling,0.9039778150343856,0.904,0,2000,1500,0,1.0,0.8799965865695736,target_full,6.663
1f7f2e0f41,main,__none__,books,svm,__none__,3,2000,ceiling,0.9039778150343856,0.904,0,2000,1500,0,1.0,0.8799965865695736,target_full,6.546
1f7f2e0f41,main,__none__,books,svm,__none__,4,2000,ceiling,0.9039778150343856,0.904,0,2000,1500,0,1.0,0.8799965865695736,target_full,7.074
1f7f2e0f41,main,__none__,music,logreg,__none__,0,2000,ceiling,0.8903772686304232,0.8904,0,2000,1500,0,10.0,0.8899643484488975,target_full,3.869
1f7f2e0f41,main,__none__,music,logreg,__none__,1,2000,ceiling,0.8903772686304232,0.8904,0,2000,1500,0,10.0,0.8899643484488975,target_full,3.77
1f7f2e0f41,main,__none__,music,logreg,__none__,2,2000,ceiling,0.8903772686304232,0.8904,0,2000,1500,0,10.0,0.8899643484488975,target_full,3.627
1f7f2e0f41,main,__none__,music,logreg,__none__,3,2000,ceiling,0.8903772686304232,0.8904,0,2000,1500,0,10.0,0.8899643484488975,target_full,3.587
1f7f2e0f41,main,__none__,music,logreg,__none__,4,2000,ceiling,0.8903772686304232,0.8904,0,2000,1500,0,10.0,0.8899643484488975,target_full,3.48
1f7f2e0f41,main,__none__,music,svm,__none__,0,2000,ceiling,0.8919750419136837,0.892,0,2000,1500,0,1.0,0.8926318793955907,target_full,3.52
1f7f2e0f41,main,__none__,music,svm,__none__,1,2000,ceiling,0.8919750419136837,0.892,0,2000,1500,0,1.0,0.8926318793955907,target_full,3.418
1f7f2e0f41,main,__none__,music,svm,__none__,2,2000,ceiling,0.8919750419136837,0.892,0,2000,1500,0,1.0,0.8926318793955907,target_full,3.494
1f7f2e0f41,main,__none__,music,svm,__none__,3,2000,ceiling,0.8919750419136837,0.892,0,2000,1500,0,1.0,0.8926318793955907,target_full,3.459
1f7f2e0f41,main,__none__,music,svm,__none__,4,2000,ceiling,0.8919750419136837,0.892,0,2000,1500,0,1.0,0.8926318793955907,target_full,3.499
1f7f2e0f41,main,__none__,electronics,logreg,__none__,0,2000,ceiling,0.9031999380479603,0.9032,0,2000,1500,0,10.0,0.9092867268694493,target_full,3.801
1f7f2e0f41,main,__none__,electronics,logreg,__none__,1,2000,ceiling,0.9031999380479603,0.9032,0,2000,1500,0,10.0,0.9092867268694493,target_full,3.957
1f7f2e0f41,main,__none__,electronics,logreg,__none__,2,2000,ceiling,0.9031999380479603,0.9032,0,2000,1500,0,10.0,0.9092867268694493,target_full,3.811
1f7f2e0f41,main,__none__,electronics,logreg,__none__,3,2000,ceiling,0.9031999380479603,0.9032,0,2000,1500,0,10.0,0.9092867268694493,target_full,3.771
1f7f2e0f41,main,__none__,electronics,logreg,__none__,4,2000,ceiling,0.9031999380479603,0.9032,0,2000,1500,0,10.0,0.9092867268694493,target_full,3.821
1f7f2e0f41,main,__none__,electronics,svm,__none__,0,2000,ceiling,0.8979881013321394,0.898,0,2000,1500,0,0.1,0.9092242410434584,target_full,3.778
1f7f2e0f41,main,__none__,electronics,svm,__none__,1,2000,ceiling,0.8979881013321394,0.898,0,2000,1500,0,0.1,0.9092242410434584,target_full,3.698
1f7f2e0f41,main,__none__,electronics,svm,__none__,2,2000,ceiling,0.8979881013321394,0.898,0,2000,1500,0,0.1,0.9092242410434584,target_full,3.752
1f7f2e0f41,main,__none__,electronics,svm,__none__,3,2000,ceiling,0.8979881013321394,0.898,0,2000,1500,0,0.1,0.9092242410434584,target_full,3.833
1f7f2e0f41,main,__none__,electronics,svm,__none__,4,2000,ceiling,0.8979881013321394,0.898,0,2000,1500,0,0.1,0.9092242410434584,target_full,3.689
1f7f2e0f41,main,__none__,clothing,logreg,__none__,0,2000,ceiling,0.9163836111877928,0.9164,0,2000,1500,0,10.0,0.9139632527492854,target_full,2.52
1f7f2e0f41,main,__none__,clothing,logreg,__none__,1,2000,ceiling,0.9163836111877928,0.9164,0,2000,1500,0,10.0,0.9139632527492854,target_full,2.549
1f7f2e0f41,main,__none__,clothing,logreg,__none__,2,2000,ceiling,0.9163836111877928,0.9164,0,2000,1500,0,10.0,0.9139632527492854,target_full,2.583
1f7f2e0f41,main,__none__,clothing,logreg,__none__,3,2000,ceiling,0.9163836111877928,0.9164,0,2000,1500,0,10.0,0.9139632527492854,target_full,2.564
