config_hash,experiment,source,target,classifier,strategy,seed,budget,run_type,macro_f1,accuracy,n_source_train,n_target_labeled,n_target_val,n_pseudo,chosen_C,val_score,tuning,fit_seconds
3633fbf46d,pilot_real,__none__,books,logreg,__none__,0,2000,ceiling,0.8962368674785403,0.89625,0,2000,500,0,10.0,0.8978197540461373,target_full,4.307
3633fbf46d,pilot_real,__none__,books,logreg,__none__,1,2000,ceiling,0.8962368674785403,0.89625,0,2000,500,0,10.0,0.8978197540461373,target_full,4.102
3633fbf46d,pilot_real,__none__,books,logreg,__none__,2,2000,ceiling,0.8962368674785403,0.89625,0,2000,500,0,10.0,0.8978197540461373,target_full,4.024
3633fbf46d,pilot_real,__none__,electronics,logreg,__none__,0,2000,ceiling,0.9162341630214462,0.91625,0,2000,500,0,10.0,0.8858973075768191,target_full,2.029
3633fbf46d,pilot_real,__none__,electronics,logreg,__none__,1,2000,ceiling,0.9162341630214462,0.91625,0,2000,500,0,10.0,0.8858973075768191,target_full,2.087
3633fbf46d,pilot_real,__none__,electronics,logreg,__none__,2,2000,ceiling,0.9162341630214462,0.91625,0,2000,500,0,10.0,0.8858973075768191,target_full,2.075
3633fbf46d,pilot_real,books,electronics,logreg,random,0,0,source_only,0.8760390727347,0.87625,2000,0,0,0,10.0,0.8938773221844453,source_val_fallback,0.083
3633fbf46d,pilot_real,books,electronics,logreg,random,0,50,transfer,0.88613880742913,0.88625,2000,50,0,0,10.0,0.8370472908011607,budget_cv,0.292
3633fbf46d,pilot_real,books,electronics,logreg,random,0,50,target_only,0.7674985468659179,0.7675,0,50,0,0,0.1,0.8177318295739348,budget_cv,0.077
3633fbf46d,pilot_real,books,electronics,logreg,random,0,100,transfer,0.8734793644530253,0.87375,2000,100,0,0,1.0,0.8585563172637475,budget_cv,0.288
3633fbf46d,pilot_real,books,electronics,logreg,random,0,100,target_only,0.8212027863607734,0.82125,0,100,0,0,1.0,0.9195806100217864,budget_cv,0.093
3633fbf46d,pilot_real,books,electronics,logreg,random,0,250,transfer,0.8962303810564185,0.89625,2000,250,0,0,10.0,0.8840524341771507,budget_cv,0.285
3633fbf46d,pilot_real,books,electronics,logreg,random,0,250,target_only,0.8636731031097229,0.86375,0,250,0,0,0.1,0.8352819153380951,budget_cv,0.086
3633fbf46d,pilot_real,books,electronics,logreg,random,0,500,transfer,0.8999843725582122,0.9,2000,500,0,0,10.0,0.8978527742735176,budget_cv,0.334
3633fbf46d,pilot_real,books,electronics,logreg,random,0,500,target_only,0.8937019998092889,0.89375,0,500,0,0,1.0,0.887734475592388,budget_cv,0.107
3633fbf46d,pilot_real,books,electronics,logreg,random,1,0,source_only,0.8760390727347,0.87625,2000,0,0,0,10.0,0.8938773221844453,source_val_fallback,0.087
3633fbf46d,pilot_real,books,electronics,logreg,random,1,50,transfer,0.8451639704112124,0.84625,2000,50,0,0,0.1,0.9181810735990302,budget_cv,0.279
3633fbf46d,pilot_real,books,electronics,logreg,random,1,50,target_only,0.7599264774837294,0.76,0,50,0,0,10.0,0.7561772077251954,budget_cv,0.092
3633fbf46d,pilot_real,books,electronics,logreg,random,1,100,transfer,0.8861858016787594,0.88625,2000,100,0,0,10.0,0.890909090909091,budget_cv,0.308
3633fbf46d,pilot_real,books,electronics,logreg,random,1,100,target_only,0.8183614638186997,0.81875,0,100,0,0,10.0,0.7767741517741519,budget_cv,0.094
3633fbf46d,pilot_real,books,electronics,logreg,random,1,250,transfer,0.8898836896471898,0.89,2000,250,0,0,10.0,0.8763563758836868,budget_cv,0.37
3633fbf46d,pilot_real,books,electronics,logreg,random,1,250,target_only,0.8547676282051282,0.855,0,250,0,0,0.1,0.8307532295229964,budget_cv,0.13
3633fbf46d,pilot_real,books,electronics,logreg,random,1,500,transfer,0.9074907490749076,0.9075,2000,500,0,0,10.0,0.893688610319115,budget_cv,0.381
3633fbf46d,pilot_real,books,electronics,logreg,random,1,500,target_only,0.8849741191768148,0.885,0,500,0,0,10.0,0.8977852902722533,budget_cv,0.131
3633fbf46d,pilot_real,books,electronics,logreg,random,2,0,source_only,0.8760390727347,0.87625,2000,0,0,0,10.0,0.8938773221844453,source_val_fallback,0.085
3633fbf46d,pilot_real,books,electronics,logreg,random,2,50,transfer,0.8570676295794779,0.8575,2000,50,0,0,1.0,0.8169506691565515,budget_cv,0.284
3633fbf46d,pilot_real,books,electronics,logreg,random,2,50,target_only,0.7648221467484786,0.765,0,50,0,0,0.1,0.6971366324307501,budget_cv,0.078
3633fbf46d,pilot_real,books,electronics,logreg,random,2,100,transfer,0.8709109395145688,0.87125,2000,100,0,0,1.0,0.8429337551737328,budget_cv,0.288
3633fbf46d,pilot_real,books,electronics,logreg,random,2,100,target_only,0.8096955128205128,0.81,0,100,0,0,10.0,0.8063859555692586,budget_cv,0.092
3633fbf46d,pilot_real,books,electronics,logreg,random,2,250,transfer,0.8962135125630104,0.89625,2000,250,0,0,10.0,0.8833412291781145,budget_cv,0.333
3633fbf46d,pilot_real,books,electronics,logreg,random,2,250,target_only,0.8574777308954524,0.8575,0,250,0,0,0.1,0.839561499055684,budget_cv,0.105
