config_hash,experiment,source,target,classifier,strategy,seed,budget,run_type,macro_f1,accuracy,n_source_train,n_target_labeled,n_target_val,n_pseudo,chosen_C,val_score,tuning,fit_seconds
27139c325d,pilot,__none__,books,logreg,__none__,0,2000,ceiling,0.963602076564287,0.96375,0,2000,500,0,0.1,0.9519068917424133,target_full,0.363
27139c325d,pilot,__none__,books,logreg,__none__,1,2000,ceiling,0.963602076564287,0.96375,0,2000,500,0,0.1,0.9519068917424133,target_full,0.31
27139c325d,pilot,__none__,books,logreg,__none__,2,2000,ceiling,0.963602076564287,0.96375,0,2000,500,0,0.1,0.9519068917424133,target_full,0.304
27139c325d,pilot,__none__,electronics,logreg,__none__,0,2000,ceiling,0.9649570724137068,0.965,0,2000,500,0,0.1,0.9679994879918079,target_full,0.294
27139c325d,pilot,__none__,electronics,logreg,__none__,1,2000,ceiling,0.9649570724137068,0.965,0,2000,500,0,0.1,0.9679994879918079,target_full,0.349
27139c325d,pilot,__none__,electronics,logreg,__none__,2,2000,ceiling,0.9649570724137068,0.965,0,2000,500,0,0.1,0.9679994879918079,target_full,0.314
27139c325d,pilot,books,electronics,logreg,random,0,0,source_only,0.717921104064457,0.72375,2000,0,0,0,0.1,0.9498939756524807,source_val_fallback,0.028
27139c325d,pilot,books,electronics,logreg,random,0,50,transfer,0.9599577053262509,0.96,2000,50,0,0,10.0,1.0,budget_cv,0.112
27139c325d,pilot,books,electronics,logreg,random,0,50,target_only,0.9624603487433602,0.9625,0,50,0,0,0.1,1.0,budget_cv,0.049
27139c325d,pilot,books,electronics,logreg,random,0,100,transfer,0.9599509399013793,0.96,2000,100,0,0,1.0,0.9796101202107876,budget_cv,0.104
27139c325d,pilot,books,electronics,logreg,random,0,100,target_only,0.962454006157543,0.9625,0,100,0,0,0.1,0.9796101202107876,budget_cv,0.038
27139c325d,pilot,books,electronics,logreg,random,0,250,transfer,0.9612121212121212,0.96125,2000,250,0,0,1.0,0.9799600887816942,budget_cv,0.113
27139c325d,pilot,books,electronics,logreg,random,0,250,target_only,0.9662115128013002,0.96625,0,250,0,0,0.1,0.9799600887816942,budget_cv,0.046
27139c325d,pilot,books,electronics,logreg,random,0,500,transfer,0.9599639675708138,0.96,2000,500,0,0,0.1,0.9819828531762073,budget_cv,0.128
27139c325d,pilot,books,electronics,logreg,random,0,500,target_only,0.9662115128013002,0.96625,0,500,0,0,0.1,0.979987146338131,budget_cv,0.048
27139c325d,pilot,books,electronics,logreg,random,1,0,source_only,0.717921104064457,0.72375,2000,0,0,0,0.1,0.9498939756524807,source_val_fallback,0.031
27139c325d,pilot,books,electronics,logreg,random,1,50,transfer,0.9574678350502568,0.9575,2000,50,0,0,10.0,0.9587997142176709,budget_cv,0.103
27139c325d,pilot,books,electronics,logreg,random,1,50,target_only,0.9574678350502568,0.9575,0,50,0,0,0.1,0.9803921568627452,budget_cv,0.042
27139c325d,pilot,books,electronics,logreg,random,1,100,transfer,0.9574734208880551,0.9575,2000,100,0,0,10.0,0.949566156017769,budget_cv,0.113
27139c325d,pilot,books,electronics,logreg,random,1,100,target_only,0.9612179442070086,0.96125,0,100,0,0,0.1,0.9495281928038096,budget_cv,0.041
27139c325d,pilot,books,electronics,logreg,random,1,250,transfer,0.962454006157543,0.9625,2000,250,0,0,1.0,0.959971768988611,budget_cv,0.119
27139c325d,pilot,books,electronics,logreg,random,1,250,target_only,0.9637086618976929,0.96375,0,250,0,0,0.1,0.9639372086726752,budget_cv,0.045
27139c325d,pilot,books,electronics,logreg,random,1,500,transfer,0.9637086618976929,0.96375,2000,500,0,0,0.1,0.9719574079964515,budget_cv,0.116
27139c325d,pilot,books,electronics,logreg,random,1,500,target_only,0.9662115128013002,0.96625,0,500,0,0,10.0,0.9659607605594447,budget_cv,0.046
27139c325d,pilot,books,electronics,logreg,random,2,0,source_only,0.717921104064457,0.72375,2000,0,0,0,0.1,0.9498939756524807,source_val_fallback,0.032
27139c325d,pilot,books,electronics,logreg,random,2,50,transfer,0.9436159998997617,0.94375,2000,50,0,0,1.0,0.8782822440717176,budget_cv,0.106
27139c325d,pilot,books,electronics,logreg,random,2,50,target_only,0.9511669074409426,0.95125,0,50,0,0,0.1,0.9187584345479083,budget_cv,0.038
27139c325d,pilot,books,electronics,logreg,random,2,100,transfer,0.9624662195976379,0.9625,2000,100,0,0,10.0,0.9598287531043699,budget_cv,0.107
27139c325d,pilot,books,electronics,logreg,random,2,100,target_only,0.9612179442070086,0.96125,0,100,0,0,0.1,0.9598287531043699,budget_cv,0.039
27139c325d,pilot,books,electronics,logreg,random,2,250,transfer,0.962454006157543,0.9625,2000,250,0,0,1.0,0.9599472462140874,budget_cv,0.125
27139c325d,pilot,books,electronics,logreg,random,2,250,target_only,0.9649629921604694,0.965,0,250,0,0,0.1,0.9559323490778767,budget_cv,0.039
27139c325d,pilot,books,electronics,logreg,random,2,500,transfer,0.9637023025569538,0.96375,2000,500,0,0,10.0,0.9660081287535216,budget_cv,0.131
27139c325d,pilot,books,electronics,logreg,random,2,500,target_only,0.9662115128013002,0.96625,0,500,0,0,0.1,0.9660031103965488,budget_cv,0.044
27139c325d,pilot,books,electronics,logreg,uncertainty,0,0,source_only,0.717921104064457,0.72375,2000,0,0,0,0.1,0.9498939756524807,source_val_fallback,0.034
27139c325d,pilot,books,electronics,logreg,uncertainty,0,50,transfer,0.9296553110240177,0.93,2000,50,0,0,10.0,0.9444444444444443,budget_cv,0.103
27139c325d,pilot,books,electronics,logreg,uncertainty,0,50,target_only,0.9587096774193549,0.95875,0,50,0,0,0.1,0.9444444444444443,budget_cv,0.041
27139c325d,pilot,books,electronics,logreg,uncertainty,0,100,transfer,0.9586879674010507,0.95875,2000,100,0,0,1.0,0.938815072360142,budget_cv,0.11
27139c325d,pilot,books,electronics,logreg,uncertainty,0,100,target_only,0.9649629921604694,0.965,0,100,0,0,0.1,0.9489939235553271,budget_cv,0.045
27139c325d,pilot,books,electronics,logreg,uncertainty,0,250,transfer,0.9649570724137068,0.965,2000,250,0,0,1.0,0.8906011271314282,budget_cv,0.117
27139c325d,pilot,books,electronics,logreg,uncertainty,0,250,target_only,0.9662115128013002,0.96625,0,250,0,0,0.1,0.9155475290029066,budget_cv,0.043
27139c325d,pilot,books,electronics,logreg,uncertainty,0,500,transfer,0.9649570724137068,0.965,2000,500,0,0,1.0,0.9399048834944574,budget_cv,0.121
27139c325d,pilot,books,electronics,logreg,uncertainty,0,500,target_only,0.9662115128013002,0.96625,0,500,0,0,1.0,0.9398774664714392,budget_cv,0.045
27139c325d,pilot,books,electronics,logreg,uncertainty,1,0,source_only,0.717921104064457,0.72375,2000,0,0,0,0.1,0.9498939756524807,source_val_fallback,0.029
27139c325d,pilot,books,electronics,logreg,uncertainty,1,50,transfer,0.944994499449945,0.945,2000,50,0,0,10.0,0.8635644548688027,budget_cv,0.105
27139c325d,pilot,books,electronics,logreg,uncertainty,1,50,target_only,0.9487364632223196,0.94875,0,50,0,0,1.0,0.9593599383073067,budget_cv,0.04
27139c325d,pilot,books,electronics,logreg,uncertainty,1,100,transfer,0.964968471624462,0.965,2000,100,0,0,10.0,0.9796101202107876,budget_cv,0.112
27139c325d,pilot,books,electronics,logreg,uncertainty,1,100,target_only,0.9624716191619913,0.9625,0,100,0,0,1.0,0.9697977103983778,budget_cv,0.039
27139c325d,pilot,books,electronics,logreg,uncertainty,1,250,transfer,0.9662115128013002,0.96625,2000,250,0,0,1.0,0.9159280460102434,budget_cv,0.113
27139c325d,pilot,books,electronics,logreg,uncertainty,1,250,target_only,0.9649570724137068,0.965,0,250,0,0,1.0,0.9200396662025508,budget_cv,0.042
27139c325d,pilot,books,electronics,logreg,uncertainty,1,500,transfer,0.9662115128013002,0.96625,2000,500,0,0,10.0,0.9459877748552845,budget_cv,0.124
27139c325d,pilot,books,electronics,logreg,uncertainty,1,500,target_only,0.9662115128013002,0.96625,0,500,0,0,1.0,0.9440002329155842,budget_cv,0.051
27139c325d,pilot,books,electronics,logreg,uncertainty,2,0,source_only,0.717921104064457,0.72375,2000,0,0,0,0.1,0.9498939756524807,source_val_fallback,0.03
27139c325d,pilot,books,electronics,logreg,uncertainty,2,50,transfer,0.9449004764856522,0.945,2000,50,0,0,10.0,0.9568450872798699,budget_cv,0.108
27139c325d,pilot,books,electronics,logreg,uncertainty,2,50,target_only,0.9461469218425893,0.94625,0,50,0,0,0.1,0.9568450872798699,budget_cv,0.039
27139c325d,pilot,books,electronics,logreg,uncertainty,2,100,transfer,0.9612058109940855,0.96125,2000,100,0,0,1.0,0.9385141370095412,budget_cv,0.109
